date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,pom,world_cup_year,host_country,match_status,winning_team,bowler_one,bowler_one_wicket,bowler_two,bowler_two_wicket,batter_one,batter_one_score,batter_two,batter_two_score
NA,Nottingham,League-Match,PAK,SL,,,,,Zaheer Abbas,1975,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA,Leeds,League-Match,EAf,IND,,,,,Farokh Engineer,1975,England,played,India,NA,0,NA,0,NA,0,NA,0
1975-06-18,Leeds,Semi-Final,ENG,AUS,,,,,Gary Gilmour,1975,England,played,Australia,NA,0,NA,0,NA,0,NA,0
1975-06-14,Birmingham,League-Match,ENG,EAf,,,,,John Snow,1975,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,The Oval,Semi-Final,NZ,WI,,,,,Alvin Kallicharran,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA,Birmingham,League-Match,NZ,EAf,,,,,Glenn Turner,1975,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA,Birmingham,League-Match,PAK,WI,,,,,Sarfraz Nawaz,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA,Leeds,League-Match,AUS,PAK,,,,,Dennis Lillee,1975,England,played,Australia,NA,0,NA,0,NA,0,NA,0
1975-06-11,Nottingham,League-Match,ENG,NZ,,,,,Keith Fletcher,1975,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,Manchester,League-Match,SL,WI,,,,,Bernard Julien,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1975-06-07,Lord's,League-Match,ENG,IND,,,,,Dennis Amiss,1975,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,Manchester,League-Match,IND,NZ,,,,,Glenn Turner,1975,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA,The Oval,League-Match,AUS,SL,,,,,Alan Turner,1975,England,played,Australia,NA,0,NA,0,NA,0,NA,0
NA,The Oval,League-Match,AUS,WI,,,,,Alvin Kallicharran,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1975-06-21,Lord's,Final,WI,AUS,,,,,Clive Lloyd,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA,Manchester,League-Match,CAN,ENG,,,,,Chris Old,1979,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,Lord's,League-Match,AUS,ENG,,,,,Graham Gooch,1979,England,played,England,NA,0,NA,0,NA,0,NA,0
1979-06-16,Manchester,League-Match,SL,IND,,,,,Duleep Mendis,1979,England,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
NA,Nottingham,League-Match,PAK,AUS,,,,,Asif Iqbal,1979,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA,Birmingham,League-Match,CAN,AUS,,,,,Alan Hurst,1979,England,played,Australia,NA,0,NA,0,NA,0,NA,0
NA,Leeds,League-Match,ENG,PAK,,,,,Mike Hendrick,1979,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,The Oval,Semi-Final,WI,PAK,,,,,Gordon Greenidge,1979,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1979-06-20,Manchester,Semi-Final,ENG,NZ,,,,,Graham Gooch,1979,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,Nottingham,League-Match,SL,NZ,,,,,Geoff Howarth,1979,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1979-06-13,Leeds,League-Match,IND,NZ,,,,,Bruce Edgar,1979,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1979-06-23,Lord's,Final,WI,ENG,,,,,Viv Richards,1979,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1979-06-09,Birmingham,League-Match,IND,WI,,,,,Gordon Greenidge,1979,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA,Leeds,League-Match,CAN,PAK,,,,,Sadiq Mohammad,1979,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA,Nottingham,League-Match,WI,NZ,,,,,Clive Lloyd,1979,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA,Tunbridge Wells,League-Match,IND,ZIM,,,,,Kapil Dev,1983,England,played,India,NA,0,NA,0,NA,0,NA,0
NA,Nottingham,League-Match,ZIM,AUS,,,,,Duncan Fletcher,1983,England,played,Zimbabwe,NA,0,NA,0,NA,0,NA,0
NA,Birmingham,League-Match,ZIM,WI,,,,,Faoud Bacchus,1983,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA,Chelmsford,League-Match,IND,AUS,,,,,Roger Binny,1983,England,played,India,NA,0,NA,0,NA,0,NA,0
1983-06-09,The Oval,League-Match,ENG,NZ,,,,,Allan Lamb,1983,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,Leicester,League-Match,ZIM,IND,,,,,Madan Lal,1983,England,played,India,NA,0,NA,0,NA,0,NA,0
1983-06-11,Taunton,League-Match,ENG,SL,,,,,David Gower,1983,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,Derby,League-Match,NZ,SL,,,,,Ashantha de Mel,1983,England,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
1983-06-22,Manchester,Semi-Final,ENG,IND,,,,,Mohinder Amarnath,1983,England,played,India,NA,0,NA,0,NA,0,NA,0
NA,Southampton,League-Match,AUS,ZIM,,,,,Dave Houghton,1983,England,played,Australia,NA,0,NA,0,NA,0,NA,0
1983-06-13,Lord's,League-Match,PAK,ENG,,,,,Zaheer Abbas,1983,England,played,England,NA,0,NA,0,NA,0,NA,0
1983-06-15,Birmingham,League-Match,ENG,NZ,,,,,Jeremy Coney,1983,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA,Nottingham,League-Match,PAK,NZ,,,,,Imran Khan,1983,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA,Leeds,League-Match,WI,AUS,,,,,Winston Davis,1983,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA,The Oval,League-Match,WI,IND,,,,,Viv Richards,1983,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA,Nottingham,League-Match,AUS,IND,,,,,Trevor Chappell,1983,England,played,Australia,NA,0,NA,0,NA,0,NA,0
NA,Manchester,League-Match,IND,WI,,,,,Yashpal Sharma,1983,England,played,India,NA,0,NA,0,NA,0,NA,0
1983-06-20,Leeds,League-Match,SL,ENG,,,,,Bob Willis,1983,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,Birmingham,League-Match,NZ,PAK,,,,,Abdul Qadir,1983,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1983-06-18,Manchester,League-Match,PAK,ENG,,,,,Graeme Fowler,1983,England,played,England,NA,0,NA,0,NA,0,NA,0
1983-06-25,Lord's,Final,IND,WI,,,,,Mohinder Amarnath,1983,England,played,India,NA,0,NA,0,NA,0,NA,0
1983-06-16,Leeds,League-Match,PAK,SL,,,,,Abdul Qadir,1983,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA,Pune,League-Match,SL,ENG,,,,,Graham Gooch,1987,India,played,England,NA,0,NA,0,NA,0,NA,0
1987-11-04,Lahore,Semi-Final,AUS,PAK,,,,,Craig McDermott,1987,Pakistan,played,Australia,NA,0,NA,0,NA,0,NA,0
1987-11-05,Wankhede,Semi-Final,ENG,IND,,,,,Graham Gooch,1987,India,played,England,NA,0,NA,0,NA,0,NA,0
1987-10-30,Cuttack,League-Match,AUS,ZIM,,,,,David Boon,1987,India,played,Australia,NA,0,NA,0,NA,0,NA,0
1987-10-14,Bengaluru,League-Match,IND,NZ,,,,,Kapil Dev,1987,India,played,India,NA,0,NA,0,NA,0,NA,0
1987-10-31,Nagpur,League-Match,NZ,IND,,,,,Sunil Gavaskar,1987,India,played,India,NA,0,NA,0,NA,0,NA,0
1987-10-10,Hyderabad (Deccan),League-Match,NZ,ZIM,,,,,Dave Houghton,1987,India,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1987-10-27,Chandigarh,League-Match,AUS,NZ,,,,,Geoff Marsh,1987,India,played,Australia,NA,0,NA,0,NA,0,NA,0
1987-10-08,Hyderabad (Sind),League-Match,PAK,SL,,,,,Javed Miandad,1987,Pakistan,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1987-10-23,Eden Gardens,League-Match,ZIM,NZ,,,,,Jeff Crowe,1987,India,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1987-10-13,Chennai,League-Match,AUS,ZIM,,,,,Steve Waugh,1987,India,played,Australia,NA,0,NA,0,NA,0,NA,0
NA,Peshawar,League-Match,ENG,SL,,,,,Allan Lamb,1987,Pakistan,played,England,NA,0,NA,0,NA,0,NA,0
1987-10-25,Faisalabad,League-Match,PAK,SL,,,,,Saleem Malik,1987,Pakistan,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA,Gujranwala,League-Match,WI,ENG,,,,,Allan Lamb,1987,Pakistan,played,England,NA,0,NA,0,NA,0,NA,0
1987-10-21,Kanpur,League-Match,WI,SL,,,,,Phil Simmons,1987,India,played,West Indies,NA,0,NA,0,NA,0,NA,0
1987-10-20,Karachi,League-Match,ENG,PAK,,,,,Imran Khan,1987,Pakistan,played,Pakistan,NA,0,NA,0,NA,0,NA,0
